Gebieden,onderwerpen,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Merksem,Leerlingen basisonderwijs - percentage kleuteronderwijs totaal,34.1660544,35.4767726,35.2442672,35.5549924,35.9124459,38.0196523,38.8074534,39.5999036,38.8604651,39.4684385
Merksem,Aantal leerlingen gewoon lager onderwijs,2455,2413,2356,2301,2265,2190,2193,2223,2336,2431
Merksem,Aantal leerlingen buitengewoon lager onderwijs,233,226,242,242,253,270,270,283,293,302
Merksem,Aantal leerlingen lager onderwijs totaal,2688,2639,2598,2543,2518,2460,2463,2506,2629,2733
Merksem,Leerlingen basisonderwijs - percentage gewoon lager onderwijs,60.1273573,58.997555,58.7238285,58.3122149,57.6482566,55.1776266,54.484472,53.5791757,54.3255814,53.8427464
Merksem,Leerlingen basisonderwijs - percentage buitengewoon lager onderwijs,5.7065883,5.5256724,6.0319043,6.1327927,6.4392975,6.8027211,6.7080745,6.8209207,6.8139535,6.6888151
Merksem,Leerlingen basisonderwijs - percentage lager onderwijs totaal,65.8339456,64.5232274,64.7557328,64.4450076,64.0875541,61.9803477,61.1925466,60.4000964,61.1395349,60.5315615
Merksem,Aantal leerlingen gewoon lager onderwijs zonder schoolse vertraging,1887,1832,1782,1746,1708,1608,1593,1629,1686,1737
Merksem,Aantal leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,456,470,468,452,463,483,491,485,545,584
Merksem,Aantal leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,93,94,83,79,73,76,89,84,80,79
Merksem,Aantal leerlingen gewoon lager onderwijs met schoolse vertraging,549,564,551,531,536,559,580,569,625,663
Merksem,Percentage leerlingen gewoon lager onderwijs zonder schoolse vertraging,77.4630542,76.4607679,76.3823403,76.6798419,76.114082,74.2039686,73.3087897,74.1128298,72.9554305,72.375
Merksem,Percentage leerlingen gewoon lager onderwijs met 1 jaar schoolse vertraging,18.7192118,19.6160267,20.0600086,19.8506807,20.6327986,22.2888786,22.5954901,22.0655141,23.5828646,24.3333333
Merksem,Percentage leerlingen gewoon lager onderwijs met meer dan 1 jaar schoolse vertraging,3.817734,3.9232053,3.5576511,3.4694774,3.2531194,3.5071527,4.0957202,3.8216561,3.4617049,3.2916667
Merksem,Percentage leerlingen gewoon lager onderwijs met schoolse vertraging,22.5369458,23.5392321,23.6176597,23.3201581,23.885918,25.7960314,26.6912103,25.8871702,27.0445695,27.625
Merksem,Aandeel GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Merksem,Aandeel indicator-leerlingen,0,0,0,0,0,0,0,0,0,54.4868735
Merksem,Aandeel met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,28.3054893
Merksem,Aandeel met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,39.4033413
Merksem,Aandeel thuisloze leerlingen,0,0,0,0,0,0,0,0,0,0.3102625
Merksem,Aandeel leerlingen trekkende bevolking,0,0,0,0,0,0,0,0,0,3.8424821
Merksem,Aandeel leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,35.2983294
Merksem,Aantal GOK-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,0
Merksem,Aantal indicator-leerlingen basisonderwijs,0,0,0,0,0,0,0,0,0,2283
Merksem,Aantal leerlingen met thuistaal niet Nederlands,0,0,0,0,0,0,0,0,0,1186
Merksem,Aantal leerlingen met laag opgeleide moeder,0,0,0,0,0,0,0,0,0,1651
Merksem,Aantal thuisloze leerlingen,0,0,0,0,0,0,0,0,0,13
Merksem,Aantal leerlingen uit trekkende bevolking,0,0,0,0,0,0,0,0,0,161
Merksem,Aantal leerlingen met schooltoelage,0,0,0,0,0,0,0,0,0,1479
Merksem,Aantal leerlingen basisonderwijs (GOK-telling),0,0,0,0,0,0,0,0,0,4190
